Neighborhood,Apparel,Art,Bank,Bed & Breakfasts,Business,Cafï¿½,Child Care,Club,Education,Entertainment,Grocery,Gym,Health,Home,Hotel,Library,Liquer,Market,Movie Theater,Nightlife,Park,Plaza,Restaurant,Snacks
Aliganj ,6,5,1,2,1,6,1,1,5,1,2,0,1,1,8,6,3,5,0,2,4,0,3,3
Anand Vihar ,3,1,2,0,0,0,0,0,2,0,0,2,6,0,0,1,0,0,0,0,0,1,0,3
Arjun Nagar ,1,1,0,0,0,0,1,1,1,0,0,2,1,1,6,1,0,7,4,0,0,0,3,3
Baroda House / paharganj,0,4,2,0,0,1,0,5,3,1,1,0,0,0,5,1,0,1,0,1,0,2,3,3
C.C.I. ,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1
Chakkarpur ,2,0,1,0,0,3,0,1,0,0,0,2,4,0,3,2,5,8,0,2,0,0,3,2
Civil Lines,1,1,0,0,0,0,0,0,0,0,2,1,3,0,5,0,0,3,2,0,2,0,1,3
Connaught Place,4,10,2,0,2,2,0,2,2,0,0,0,3,0,14,3,1,1,0,2,2,3,8,9
DLF Phase II III IV,7,0,0,0,2,1,0,0,1,0,0,0,1,0,2,0,3,4,0,0,0,1,2,2
Delhi Cantonment,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,1
Dwarka,0,0,0,0,0,0,1,0,2,0,4,2,2,0,1,0,0,4,1,2,1,0,1,0
Faridabad,2,1,4,0,0,0,0,0,5,0,1,2,1,0,1,2,1,1,4,1,1,1,1,2
Gadaipur ,0,3,0,0,2,2,0,0,1,2,0,0,0,1,4,0,1,0,0,2,2,0,1,0
Ghaziabad,4,0,0,0,0,1,1,0,4,0,4,3,1,0,3,1,1,5,8,0,4,4,2,2
Greater Kailash,0,0,1,0,0,0,1,1,3,0,1,3,2,0,4,0,0,0,1,2,2,3,1,3
Greater Kailash ,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Greater Noida,0,0,0,0,2,0,0,1,2,0,1,2,1,0,2,1,0,5,0,0,1,0,0,0
Green Park,0,2,0,0,0,0,0,0,2,1,0,2,1,0,3,0,0,2,0,3,1,0,2,0
Gurgaon Road ,3,4,0,0,0,1,0,1,0,0,0,0,1,2,7,0,1,5,1,1,0,1,3,0
Karol Bagh,3,0,0,0,0,2,0,0,5,1,1,3,3,0,12,8,0,2,1,0,1,0,3,3
Lajpat Nagar,2,1,6,0,1,2,0,0,4,0,2,4,9,1,6,1,0,2,2,8,2,4,5,9
Masood Pur ,3,1,1,0,0,1,0,0,1,0,2,1,2,0,2,0,0,6,2,1,1,0,1,0
Palam Vihar,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
Rajouri Garden,5,2,3,0,0,6,1,0,6,1,2,8,4,2,8,0,0,10,8,2,5,0,5,7
Sagarpur / Rohini,4,2,4,0,2,0,0,0,9,1,1,2,9,0,8,1,1,5,5,1,2,2,4,7
Saket,9,2,0,1,1,1,0,1,5,1,2,2,5,0,8,1,0,3,3,1,0,2,4,2
Sarojini Nagar,1,2,4,1,0,4,0,1,10,6,1,4,3,0,9,5,2,6,2,5,5,1,4,5
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",0,0,0,0,0,1,1,0,2,0,2,3,3,0,8,0,0,1,0,1,0,3,4,1
Sector 12 Noida,4,0,2,0,0,1,1,1,1,1,0,0,2,1,2,1,0,2,2,2,3,1,2,1
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",6,1,2,0,0,3,0,1,1,3,1,2,8,0,11,2,0,6,3,2,2,3,3,6
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",0,1,0,0,1,2,1,0,1,0,2,2,4,0,3,0,1,4,1,5,1,3,1,6
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",0,1,3,0,0,0,1,2,3,1,4,4,5,0,7,2,1,9,0,0,1,0,4,3
"Sector 49, Fatehpur",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",1,0,3,0,0,2,0,1,7,1,2,3,3,1,3,0,2,5,1,1,2,6,3,2
Shahdara,2,0,0,0,0,1,0,0,2,0,0,4,0,0,2,1,0,2,0,0,2,3,0,0
Vasant Kunj,3,0,0,1,0,2,0,1,4,0,1,2,2,0,4,3,1,3,0,4,2,1,7,3
