"Neighborhood","Venue Category","Venue","id","location_address","location_crossStreet","Neighborhood_Latitude","Neighborhood_Longitude","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName"
"HiTech City","Movie Theater","PVR Cinemas","54490b7a498e934ca695dabd","Inorbit","Madhapur",17.43424473,78.38676275,500081,"Hyderabad","Telangana","India","Inorbit (Madhapur)","Movie Theater","Movie Theaters","Movie Theater"
"Kukatpally","Cineplex","Cin�polis�","51b6d645498ebc5ae1f840d7","Manjeera-Trinity Mall, JNTU Road","KPHB, KUKATPALLY",17.48999808,78.392849,500072,"Hyderabad","Telangana","India","Manjeera-Trinity Mall, JNTU Road (KPHB, KUKATPALLY)","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","PVR Cinemas","4bfc166ae9d8c9285306b2c7","The Hyderabad Central Mall, Panjagutta","null",17.42651605,78.45326123,500082,"Hyderabad","Telangana","India","The Hyderabad Central Mall, Panjagutta","Multiplex","Multiplexes","Cineplex"
"Kukatpally","Cineplex","PVR Cinemas","54317905498ed37e3c280c0e","Forum Mall","Kukatpally",17.48385842,78.38887729,500072,"Hyderabad","Telangana","India","Forum Mall (Kukatpally)","Multiplex","Multiplexes","Cineplex"
"Hyderabad Jubilee","Landmark","Charminar","4e1d712415207c4cbec540bd","Old City","null",17.36155458,78.47467661,500002,"Hyderabad","Telangana","India","Old City","Monument / Landmark","Monuments / Landmarks","Landmark"
"Chandanagar","Cineplex","Inox","5d3741ad34b8080008f877f7","null","null",17.49627,78.335724,500050,"Hyderabad","Telangana","India","Hyderabad 500050","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","Pvr Next Galleria Palyhouse Mall","5a8c515fe1f0aa07a180302c","Opp Punjaguta Metro Station, Srinagar Colony Ameerpet Road","Opp Punjaguta Metro Station",17.429289,78.450195,500082,"Hyderabad","Telangana","India","Opp Punjaguta Metro Station, Srinagar Colony Ameerpet Road (Opp Punjaguta Metro Station)","Multiplex","Multiplexes","Cineplex"
"Srinagar Colony","Cineplex","Big Cinemas","4bd14ed8caff95210588d0f0","Big Bazaar","Ameerpet",17.43044427,78.44836113,"null","Hyderabad","Telangana","India","Big Bazaar (Ameerpet)","Multiplex","Multiplexes","Cineplex"
"LIC Division","Cineplex","Prasad's IMAX","4b72b33bf964a52054842de3","NTR Gardens, LIC Division P.O., Tank Bund Rd, Hussain Sagar","Khairatabad",17.41305354,78.46557776,500063,"Hyderabad","Telangana","India","NTR Gardens, LIC Division P.O., Tank Bund Rd, Hussain Sagar (Khairatabad)","Multiplex","Multiplexes","Cineplex"
"Kachiguda X Roads","Cineplex","Inox Maheshwari Paremeshwari","507a6f13e4b08ed64815dbfb","Big Bazaar, Kachiguda X Roads","Above Big Bazar",17.39072803,78.4883524,"null","Hyderabad","Telangana","India","Big Bazaar, Kachiguda X Roads (Above Big Bazar)","Multiplex","Multiplexes","Cineplex"
"Banjara Hills","Cineplex","PVR Cinemas","4bc9da630687ef3b3f96dacc","Opp LV Prasad Eye Hosipital, Banjara Hills","Rd No 2",17.42357664,78.42785608,"null","Hyderabad","Telangana","India","Opp LV Prasad Eye Hosipital, Banjara Hills (Rd No 2)","Multiplex","Multiplexes","Cineplex"
"Kondapur","Movie Theater","Amb Cinemas","5c0413f7724750002cd8f006","Kondapur","null",17.45737933,78.36372273,500084,"Hyderabad","TG","India","Kondapur","Movie Theater","Movie Theaters","Movie Theater"
"Dilsukhnagar","Cineplex","Asian Shiva ganga","521dc53f11d2e4a985bf89e4","Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar","null",17.36112224,78.52321513,500060,"Hyderabad","Telangana","India","Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar","Multiplex","Multiplexes","Cineplex"
"Banjara Hills","Cineplex","INOX Movies","4bf8d00fb182c9b68526785a","GVK One, Banjara Hills","Rd No 1",17.41939139,78.44811874,500034,"Hyderabad","Telangana","India","GVK One, Banjara Hills (Rd No 1)","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Mall","Hyderabad Central","4b443250f964a52091f225e3","Punjagutta Circle","Punjagutta",17.42638641,78.45278617,500082,"Hyderabad","Telangana","India","Punjagutta Circle (Punjagutta)","Shopping Mall","Shopping Malls","Mall"
"RTC X ROADS","Movie Theater","Devi 70 MM","4cee68185de16ea83896bb96","RTC X ROADS","null",17.40632866,78.49540915,"null","Hyderabad","Telangana","India","RTC X ROADS","Movie Theater","Movie Theaters","Movie Theater"
"Malakpet Colony","Cineplex","Pvr Cinemas","5cceaa45326fb10038f2dd26","null","null",17.371461,78.509652,500036,"Hyderabad","TG","India","Hyderabad 500036","Multiplex","Multiplexes","Cineplex"
"I.M.Colony","Cineplex","Pvr Irrum Manzil","5c25af9193bd63002cb7d4e0","null","null",17.420914,78.455236,500082,"Hyderabad","TG","India","Hyderabad 500082","Multiplex","Multiplexes","Cineplex"
"Langer Houz","Indie Movies","Pratap Theatre","5245443e11d20c55b6a73cfd","Langer Houz","null",17.376504,78.419594,"null","Hyderabad","null","India","Langer Houz","Indie Movie Theater","Indie Movie Theaters","Indie Movies"
"Ashoknagar","Movie Theater","Sudharshan Theatre 35mm","4c9485c90341370495d872ef","RTC X ROAD","null",17.40652963,78.49515002,500020,"Hyderabad","Telangana","India","RTC X ROAD","Movie Theater","Movie Theaters","Movie Theater"
"Charminar","Zoo","Nehru Zoological Park","4c4269da520fa593d043cbac","Zoo Park Main Rd, Charminar","null",17.3507778,78.45139601,"null","Hyderabad","Telangana","India","Zoo Park Main Rd, Charminar","Zoo","Zoos","Zoo"
"Shamshabad","Historic Site","Sri SitaRama Chandra Swamy Temple","55041af2498e1f2b3855aa24","Ammapalli","Shamshabad",17.257191,78.345492,"null","Hyderabad","Telangana","India","Ammapalli (Shamshabad)","Historic Site","Historic Sites","Historic Site"
"Khairatabad","Historic Site","Buddha statue","4c878ecb9062ef3b665940c6","Hussain Sagar Lake","Tank Bund",17.415596,78.474976,500029,"Hyderabad","Telangana","India","Hussain Sagar Lake (Tank Bund)","Historic Site","Historic Sites","Historic Site"
"Ameerpet","Dance Studio","Sarathi Studios","4c1ef22d63750f474f88ba67","Yousufguda Road","Ameerpet",17.43561603,78.4414494,"null","Hyderabad","Telangana","India","Yousufguda Road (Ameerpet)","Dance Studio","Dance Studios","Dance Studio"
"Fatehdarwaza","Theater","Sudha Cinepolis","5ae29faf033693002c3f736e","Bela","Gowlipura",17.350346,78.4746,500065,"Hyderabad","Telangana","India","Bela (Gowlipura)","Theater","Theaters","Theater"
"Banjara Hills","Entertainment","Welfare And Cultural Club Mla's Colony","509b2a10e4b0f0f523aa4265","Mla's Colony Banjara Hills Rd-12","null",17.41063309,78.4229694,500034,"Hyderabad","Telangana","India","Mla's Colony Banjara Hills Rd-12","General Entertainment","General Entertainment","Entertainment"
"Mahatma Gandhi Road","Arcade","Park Lane","4bc939a368f976b06e1a5d83","Park Lane","Mahatma Gandhi Road",17.43954657,78.48963261,"null","Hyderabad","Telangana","India","Park Lane (Mahatma Gandhi Road)","Arcade","Arcades","Arcade"
"Opp To Indra Park","Stadium","NTR Stadium","4f8240f8e4b01cf8243c8e5b","Opp To Indra Park","null",17.41047794,78.48561961,"null","Hyderabad","Telangana","India","Opp To Indra Park","Stadium","Stadiums","Stadium"
"Tolichowki","Entertainment","M.F garden","4e0745d1a809495e6197ba85","Tolichowki","null",17.40247601,78.41290716,"null","Hyderabad","Telangana","India","Tolichowki","General Entertainment","General Entertainment","Entertainment"
"yousufguda","Stadium","Kotla Vijayabhaskar Reddy Stadium","4e1063b98877ac23b6576384","yousufguda","null",17.43421953,78.42727276,"null","Hyderabad","Andhra Pradesh","India","yousufguda","Stadium","Stadiums","Stadium"
"Srinagar colony","Concert Hall","Sri Satya Sai Nigamagamam","4c3b248a5810a5938821ba3c","Srinagar colony","null",17.42956518,78.43556649,"null","Hyderabad","Telangana","India","Srinagar colony","Concert Hall","Concert Halls","Concert Hall"
"Gachibowli","Performing Arts","Global Peace Auditorium","4ec8b15c722e143797d57682","Gachibowli","null",17.43721038,78.35248525,"null","Hyderabad","Telangana","India","Gachibowli","Performing Arts Venue","Performing Arts Venues","Performing Arts"
"Chandanagar","Stadium","P J R Stadium","4e40859c2271a89dd0847f98","Chandanagar","null",17.4888336,78.32459826,"null","Hyderabad","Telangana","India","Chandanagar","Stadium","Stadiums","Stadium"
"LIC Division","Planetarium","Birla Science Center & Museum","4d0ddd35d515236afcbf0f4b","Near Birla Temple, Adarsh Nagar","Hill Fort Road",17.39164502,78.47010774,500063,,,,"Near Birla Temple, Adarsh Nagar (Hill Fort Road)","Planetarium","Planetariums","Planetarium"
"Moti Gali, Charminar","History Museum","Chowmahala Palace","4cc19bfb67a3b1f77a8dc90e","Moti Gali, Charminar","null",17.35929974,78.47161741,"null",,,,"Moti Gali, Charminar","History Museum","History Museums","History Museum"
"Hafzalgunj","History Museum","Salar Jung Museum","4bc95d44fb84c9b6d5101b3e","Hafzalgunj","null",17.37177288,78.48063609,"null",,,,"Hafzalgunj","History Museum","History Museums","History Museum"
"Masabtank","Art Museum","tribal museum","511d2b71e4b05f03e28db94d","Masabtank","null",17.31754627,78.56785125,"null",,,,"Masabtank","Art Museum","Art Museums","Art Museum"
"Tank Bund","Planetarium","Birla Planetarium","511de9e3e4b06a8712e13153","Birla Temple Area, Tank Bund","Tank Bund Road",17.40596541,78.47101243,"null",,,,"Birla Temple Area, Tank Bund (Tank Bund Road)","Planetarium","Planetariums","Planetarium"
"Pathar Gatti","History Museum","Nizam's Museum","516043f1fe706bf2b8e744a8","Purani Haveli Road, Purani Haveli, Pathar Gatti","null",17.36678452,78.48300024,50002,,,,"Purani Haveli Road, Purani Haveli, Pathar Gatti","History Museum","History Museums","History Museum"
"Salar Jung","History Museum","western block salar jung museum","532d508e498e781e7399d481","Salar Jung Hyderabad","null",17.37126405,78.48037525,"null",,,,"Salar Jung Hyderabad","History Museum","History Museums","History Museum"
"Bahadurpura","Museum","Sudha Cars Museum","4ef9baab469012b8c2eea5e8","Bahadurpura","null",17.35728778,78.45433261,"null",,,,"Bahadurpura","Museum","Museums","Museum"
"KundanBagh","Tennis Court","Tennis Court","500aa355e4b0114578ab5d6a","Near Begumpet Railway Station","KundanBagh",17.43876343,78.45599794,"null",,,,"Near Begumpet Railway Station (KundanBagh)","College Tennis Court","College Tennis Courts","Tennis Court"
"KPHB","Academic Building","JNTU","4c7b11ee93ef236ae2bcb40f","KPHB","null",17.49559813,78.39496815,"null",,,,"KPHB","College Academic Building","College Academic Buildings","Academic Building"
"Ameerpet","Education","Maitrivanam","4bc6cfa2db8fa59382dd9c37","Ameepet","Ameerpet",17.43694227,78.44460655,534341,,,,"Ameepet (Ameerpet)","General College & University","General Colleges & Universities","Education"
"Gachibowli","Education","IIIT Hyderabad","4d3ba49f05b8721ed63a8537","Gachibowli","null",17.44584905,78.35010142,500032,,,,"Gachibowli","General College & University","General Colleges & Universities","Education"
"Gagan Mahal","Auditorium","A.V. College Auditorium","4e6850ca483bc776306142a9","Gagan Mahal","Domalguda",17.41473735,78.47976478,500029,,,,"Gagan Mahal (Domalguda)","College Auditorium","College Auditoriums","Auditorium"
"Road No 36, Jubilee Hills","College Bookstore","Odyssey","4cf10901d29b2d437180f0bb","Road No 36, Jubilee Hills","null",17.42985006,78.41166875,"null",,,,"Road No 36, Jubilee Hills","College Bookstore","College Bookstores","College Bookstore"
"Rajendranagar","University","College of veterinary science hyderabad","509745fae4b03898b124c23f","Rajendranagar","null",17.33180211,78.39790081,"null",,,,"Rajendranagar","University","Universities","University"
"Near Vardhaman Engineering college","Stadium","Vardhamaan College Of Engineering Cricket Ground","51ce4a1a498e7a1143a6a13f","Near Vardhaman Engineering college","null",17.2599,78.3232,"null",,,,"Near Vardhaman Engineering college","College Stadium","College Stadiums","Stadium"
"Darushifa","Technology","Nawab Shah Alam Khan College Of Engineering And Technology","501e0aa6e4b090f3fb9ebadd","New Malakpet","null",17.37370321,78.49142416,500024,,,,"New Malakpet","College Technology Building","College Technology Buildings","Technology"
"patelguda","Engineering","Visvesvaraya College Of Engg & Tech","4d12ea8a957fa1cd9baf719f","bonguloor,","patelguda",17.22373009,78.5877049,510501,,,,"bonguloor, (patelguda)","College Engineering Building","College Engineering Buildings","Engineering"
"Ambernagar","Student Center","Sri Vidya Secondary School","4ed20b106d86bf39f2f13387","2-2-1105/26/1 , Tilak Nagar","New Nallakunta",17.3917649,78.50884706,500044,,,,"2-2-1105/26/1 , Tilak Nagar (New Nallakunta)","Student Center","Student Centers","Student Center"
"Narayanguda","Math","Narayana Junior College","4e9fc359e5fa13c70e3d81bc","Narayanguda Rd, Narayanguda, Hyderabad, Andhra Pradesh","null",17.3989991,78.492252,"null",,,,"Narayanguda Rd, Narayanguda, Hyderabad, Andhra Pradesh","College Math Building","College Math Buildings","Math"
"Banjara Hills","Education","Amity College","4c20344482109c74d743d459","Road number 11","Banjara Hills",17.41261367,78.44805867,"null",,,,"Road number 11 (Banjara Hills)","General College & University","General Colleges & Universities","Education"
"Sanjeev Reddy Nagar","Academic Building","Sr Nagar Ed Mira Ielts,Pte, Spoken English","59dc5382db1d81662019c208","3rd floor,v s Rangarao,above apollo clinic,lane opposite.","sr Nagar community hall.",17.441488,78.44539,500038,,,,"3rd floor,v s Rangarao,above apollo clinic,lane opposite. (sr Nagar community hall.)","College Academic Building","College Academic Buildings","Academic Building"
"Gachibowli","Gym","F45 Training Gachibowli","5736a63d498e2f6dc3606db3","4th Floor","Beginning Of Gachibowli Flyover",17.43493468,78.36745831,"null",,,,"4th Floor (Beginning Of Gachibowli Flyover)","College Gym","College Gyms","Gym"
"Gachibowli","Cafeteria","Kapil Tower","5795c73d498e6d29555b8973","near Essar petrol bunk","isb road, Gachibowli",17.421772,78.33868,500032,,,,"near Essar petrol bunk (isb road, Gachibowli)","College Cafeteria","College Cafeterias","Cafeteria"
"Begumpet","Academic Building","St. Francis College for Women","4c04fb6258dad13a025d4897","Begumpet","Street Number 6, Uma Nagar",17.43726912,78.461169,500016,,,,"Begumpet (Street Number 6, Uma Nagar)","College Academic Building","College Academic Buildings","Academic Building"
"Moinabad","Engineering","JBIT Engineering College","4cb28a4f9b34199c1d59b963","Moinabad","null",17.33108254,78.29794912,"null",,,,"Moinabad","College Engineering Building","College Engineering Buildings","Engineering"
"Gachibowli","University","University of Hyderabad","4c0c88156c04b71313ff4f05","Gachibowli","null",17.45615361,78.3353916,500046,,,,"Gachibowli","University","Universities","University"
"Koti","Student Center","St.Joseph High School","4ee8458c775b712265e2ded3","Koti","null",17.39310652,78.48596367,"null",,,,"Koti","Student Center","Student Centers","Student Center"
"Kondakal post","Education","Indus international school","4ea685c6b634bda7874cc26e","Kondakal post","Near mokila",17.44927439,78.16328766,501203,,,,"Kondakal post (Near mokila)","General College & University","General Colleges & Universities","Education"
"Musheerabad","Medical School","Gandhi Hospital","4d7082d668276ea85c238990","Musheerabad","null",17.42399854,78.50192256,"null",,,,"Musheerabad","Medical School","Medical Schools","Medical School"
"Osmania University","Arts","Art College Osmania University","4f3cb6dbe4b022e41d0de539","Osmania University","null",17.41827263,78.52669938,"null",,,,"Osmania University","College Arts Building","College Arts Buildings","Arts"
"Ibrahimpatnam","Administrative Building","Guru Nanak College","4e2a35a17d8b7deda6c3b5ef","Ibrahimpatnam","null",17.16165891,78.65964475,501506,,,,"Ibrahimpatnam","College Administrative Building","College Administrative Buildings","Administrative Building"
"Sri Rama Nagaram","Non-Profit","Divya Saketam","5376a607498eaa8a5655815b","Jeeyar integrated vedic academy","Sri Rama Nagaram",17.18461002,78.32971718,509325,,,,"Jeeyar integrated vedic academy (Sri Rama Nagaram)","Non-Profit","Non-Profits","Non-Profit"
"CIE Balangar","Education","Central Institute Of Tool Design - Citd","59dca516c0cacb5e1bfbed53","Balanagar","null",17.466547,78.44482,500037,,,,"Balanagar","General College & University","General Colleges & Universities","Education"
"Madhapur","Italian","Ci Gusta","5385efc5498e95906611fb32","Plot 66, Jyothi Celeste, Kavuri Hills, Madhapur","Kavuri Hills",17.43834161,78.39560577,500081,,,,"Plot 66, Jyothi Celeste, Kavuri Hills, Madhapur (Kavuri Hills)","Italian Restaurant","Italian Restaurants","Italian"
"Madhapur road","BBQ","Absolute Barbecues (ABs)","52411e2311d2bf60e0084ef5","Road No.36, Madhapur road, Above bajaj electronics Showroom","null",17.43849792,78.39795567,"null",,,,"Road No.36, Madhapur road, Above bajaj electronics Showroom","BBQ Joint","BBQ Joints","BBQ"
"Srinagar Colony","Caf�","The Roastery Coffee House","59a97b4f26659b3259fadb1a","null","null",17.42338248,78.43160294,500073,,,,"Rajendra Nagar 500073","Caf�","Caf�s","Caf�"
"Jubilee Hills","Ice Cream","Naturals IceCream","56e18d05498e7b9a3ac1d2c2","Jubilee Hills","null",17.4386593,78.39920912,"null",,,,"Jubilee Hills","Ice Cream Shop","Ice Cream Shops","Ice Cream"
"Meenakshi Bamboo","Bakery","The old madras baking company","57653c52cd10d3f25eeb489c","Meenakshi Bamboo","null",17.44354154,78.36823589,"null",,,,"Meenakshi Bamboo","Bakery","Bakeries","Bakery"
"Dr.B R Ambedkar O.U","Caf�","Feu","5bfea4f61b0ea5002ccb2032","null","null",17.424139,78.413031,500033,,,,"Hyderabad 500033","Caf�","Caf�s","Caf�"
"Film Nagar","Caf�","Orka Cafe","5d46dda945ec8c0008bfb231","null","null",17.427382,78.40521,500096,,,,"Hyderabad 500096","Caf�","Caf�s","Caf�"
"Srinagar Colony","Desserts","Gourmet Baklava","5ab21a274940bc63220472ce","Banjara Hills","Road no. 3,",17.425131,78.438282,500073,,,,"Banjara Hills (Road no. 3,)","Dessert Shop","Dessert Shops","Desserts"
"Banjara Hills","Italian","Le Vantage","59ec9b822632ec468f223fdd","null","null",17.430074,78.417744,500034,,,,"Hyderabad 500034","Italian Restaurant","Italian Restaurants","Italian"
"A.Gs Office","Caf�","Cafe Niloufer & Bakers","4d5fadf029ef236a85a09b59","Red Hills Rd, Opp Hanuman Temple","Lakdikapul",17.39971498,78.46288085,500004,,,,"Red Hills Rd, Opp Hanuman Temple (Lakdikapul)","Caf�","Caf�s","Caf�"
"Gagan Mahal","Ice Cream","The Belgian Waffle Co.","6001d09da6930e53ea2bf237","null","Himayatnagar",17.401314,78.48424,500029,,,,"Himayatnagar","Ice Cream Shop","Ice Cream Shops","Ice Cream"
"Banjara Hills","Caf�","The Lounge (CCD)","4dbff93dcda12687c83f8b24","Banjara Hills","Rd No 10",17.41483739,78.44804841,500034,,,,"Banjara Hills (Rd No 10)","Caf�","Caf�s","Caf�"
"Near Apollo Hospital","Coffee Shop","Starbucks","542b7888498ea5b08625e962","Jubilee hills","Jubilee Hills",17.41699919,78.41634449,520007,,,,"Jubilee hills (Jubilee Hills)","Coffee Shop","Coffee Shops","Coffee Shop"
"Inorbit Mall","Coffee Shop","Starbucks","54e45ed8498eabc835109b65","Inorbit Mall","null",17.43342905,78.3866051,"null",,,,"Inorbit Mall","Coffee Shop","Coffee Shops","Coffee Shop"
"Rd 10. Banjara Hills","Caf�","Manhattan Cafe","4ef919109a52c9084290b8c5","Rd 10. Banjara Hills","null",17.41688862,78.43869385,"null",,,,"Rd 10. Banjara Hills","Caf�","Caf�s","Caf�"
"Sainikpuri","Caf�","Groove 9","5c163cd0149946002c00897a","null","null",17.485182,78.54766,500094,,,,"Secunderabad 500094","Caf�","Caf�s","Caf�"
"Cyberabad","Caf�","Bake Bar","601518c1fe983102f92bc424","null","null",17.452205,78.387175,500081,,,,"Hyderabad 500081","Caf�","Caf�s","Caf�"
